month,monthly_total,previous_month,change_vs_prev,pct_change_vs_prev
2020-03,9628,NULL,NULL,NULL
2020-04,26710,9628,17082,177.4
2020-05,25804,26710,-906,-3.4
2020-06,7627,25804,-18177,-70.4
2020-07,7112,7627,-515,-6.8
2020-08,1969,7112,-5143,-72.3
2020-09,609,1969,-1360,-69.1
2020-10,450,609,-159,-26.1
2020-11,237,450,-213,-47.3
2020-12,852,237,615,259.5
2021-01,6813,852,5961,699.6
2021-02,868,6813,-5945,-87.3
2021-03,47,868,-821,-94.6
2021-04,261,47,214,455.3
2021-06,2434,261,2173,832.6
2021-07,80,2434,-2354,-96.7
2021-08,1867,80,1787,2233.8
2021-09,161,1867,-1706,-91.4
2021-10,22,161,-139,-86.3
2021-11,2070,22,2048,9309.1
2021-12,1200,2070,-870,-42.0
2022-01,510,1200,-690,-57.5
2022-02,3685,510,3175,622.5
2022-03,5714,3685,2029,55.1
2022-04,4128,5714,-1586,-27.8
2022-05,12985,4128,8857,214.6
2022-06,17394,12985,4409,34.0
2022-07,16238,17394,-1156,-6.6
2022-08,13055,16238,-3183,-19.6
2022-09,5881,13055,-7174,-55.0
2022-10,20471,5881,14590,248.1
2022-11,53594,20471,33123,161.8
2022-12,10664,53594,-42930,-80.1
2023-01,89709,10664,79045,741.2
2023-02,40002,89709,-49707,-55.4
2023-03,37963,40002,-2039,-5.1
2023-04,20100,37963,-17863,-47.1
2023-05,15127,20100,-4973,-24.7
2023-06,11206,15127,-3921,-25.9
2023-07,10690,11206,-516,-4.6
2023-08,10178,10690,-512,-4.8
2023-09,4707,10178,-5471,-53.8
2023-10,8076,4707,3369,71.6
2023-11,8373,8076,297,3.7
2023-12,8189,8373,-184,-2.2
2024-01,34137,8189,25948,316.9
2024-02,15729,34137,-18408,-53.9
2024-03,7403,15729,-8326,-52.9
2024-04,22423,7403,15020,202.9
2024-05,11011,22423,-11412,-50.9
2024-06,10083,11011,-928,-8.4
2024-07,9051,10083,-1032,-10.2
2024-08,25944,9051,16893,186.6
2024-09,4036,25944,-21908,-84.4
2024-10,3782,4036,-254,-6.3
2024-11,6755,3782,2973,78.6
2024-12,2568,6755,-4187,-62.0
2025-01,2537,2568,-31,-1.2
2025-02,18474,2537,15937,628.2
2025-03,8914,18474,-9560,-51.7
2025-04,25220,8914,16306,182.9
2025-05,10577,25220,-14643,-58.1
2025-06,1606,10577,-8971,-84.8
2025-07,16648,1606,15042,936.6
2025-08,6452,16648,-10196,-61.2
2025-09,4454,6452,-1998,-31.0
2025-10,19070,4454,14616,328.2
2025-11,8932,19070,-10138,-53.2
2025-12,1552,8932,-7380,-82.6
2026-01,25148,1552,23596,1520.4
2026-02,11269,25148,-13879,-55.2
2026-03,46593,11269,35324,313.5
2026-04,5016,46593,-41577,-89.2
2026-05,28889,5016,23873,475.9
2026-06,1397,28889,-27492,-95.2
