layoff_year,company,yearly_layoffs,year_rank
2020,Uber,7525,1
2020,Booking.com,4375,2
2020,Groupon,2800,3
2020,Swiggy,2250,4
2020,Airbnb,1900,5
2021,Bytedance,3600,1
2021,Katerra,2434,2
2021,Zillow,2000,3
2021,Instacart,1877,4
2021,"WhiteHat Jr",1800,5
2022,Meta,11000,1
2022,Amazon,10150,2
2022,Cisco,4100,3
2022,Peloton,4084,4
2022,Carvana,4000,5
2022,Philips,4000,5
2023,Amazon,17260,1
2023,Google,12115,2
2023,Microsoft,11158,3
2023,Meta,10000,4
2023,Ericsson,8500,5
2024,Intel,15062,1
2024,Tesla,14500,2
2024,Cisco,9850,3
2024,SAP,8000,4
2024,Dell,6000,5
2025,Intel,27058,1
2025,Microsoft,15347,2
2025,Amazon,14184,3
2025,HP,8000,4
2025,Salesforce,5385,5
2026,Oracle,30000,1
2026,Amazon,16100,2
2026,Dell,11000,3
2026,Meta,10400,4
2026,PayPal,4760,5
